heures,d2025,e2025,d2030,e2030,d2035,e2035,d2040,e2040,d2045,e2045,d2050,e2050
13,44.5226231,0.0,48.628875824000005,3.6372979960000005,52.735128548000006,7.274595992000001,56.84138127200001,10.911893988000001,60.94763399600001,14.549191984000002,65.05388672000001,18.18648998
14,37.0667566,0.0,41.786501786,3.637297984,46.506246972,7.274595968,51.225992158000004,10.911893952,55.945737344,14.549191936,60.665482530000006,18.18648992
15,33.4570634,0.0,38.024360472000005,3.6372971200000004,42.591657544,7.274594240000001,47.158954616,10.91189136,51.726251688000005,14.549188480000002,56.29354876000001,18.1864856
16,31.3764587,0.0,35.948253392,3.12059144,40.520048084,6.24118288,45.091842776,9.36177432,49.663637468000005,12.48236576,54.23543216,15.6029572
17,32.2458528,0.0,37.020431792000004,3.1205667200000002,41.795010784,6.2411334400000005,46.569589776,9.36170016,51.344168768,12.482266880000001,56.11874776,15.6028336
18,34.0323342,0.0,38.437630688000006,2.887160096,42.842927176,5.774320192,47.24822366400001,8.661480288,51.653520152000006,11.548640384,56.05881664,14.43580048
19,37.0129465,0.0,40.70916173,2.9042773220000004,44.40537696,5.808554644000001,48.10159219,8.712831966,51.79780742,11.617109288000002,55.49402265,14.52138661
20,40.3579671,0.0,42.92090557,3.10546441,45.48384404,6.21092882,48.04678251,9.31639323,50.60972098,12.42185764,53.17265945,15.52732205
21,37.9364121,0.0,41.351636412000005,3.120474712,44.766860724,6.240949424,48.182085036000004,9.361424136,51.597309348,12.481898848,55.01253366,15.60237356
22,35.6285041,0.0,39.39075459,3.120639786,43.15300508,6.241279572,46.91525557,9.361919358,50.67750606,12.482559144,54.43975655,15.60319893
23,31.3012444,0.0,35.836952838,3.1206607720000004,40.372661276,6.241321544000001,44.908369714,9.361982316,49.444078152,12.482643088000001,53.97978659,15.60330386
24,32.1525173,0.0,36.743650586,3.120678454,41.334783872,6.241356908,45.925917158,9.362035362,50.517050444,12.482713816,55.10818373,15.60339227
25,34.4690083,0.0,38.75872607,3.1207021860000004,43.048443840000004,6.241404372000001,47.33816161,9.362106558,51.62787938,12.482808744000002,55.91759715,15.60351093
26,31.9061382,0.0,36.84017244,3.120736474,41.774206680000006,6.241472948,46.708240919999994,9.362209422,51.642275160000004,12.482945896,56.5763094,15.60368237
27,31.5493311,0.0,36.80688494,3.1207803100000002,42.06443878,6.2415606200000004,47.32199262,9.36234093,52.57954646,12.483121240000001,57.8371003,15.60390155
28,31.2873891,0.0,36.783204576,3.120848198,42.279020052,6.241696396,47.774835528,9.362544594,53.270651004,12.483392792,58.76646648,15.60424099
29,30.0857013,0.0,35.888045802,3.12095842,41.690390304000005,6.24191684,47.492734806,9.36287526,53.295079308,12.48383368,59.097423809999995,15.6047921
30,31.4038857,0.0,37.057726624000004,3.1211636160000005,42.711567548000005,6.242327232000001,48.365408472,9.363490848,54.019249396,12.484654464000002,59.67309032,15.60581808
31,35.1676041,0.0,40.901205896,3.1217837520000002,46.634807692,6.2435675040000005,52.368409488,9.365351256,58.10201128400001,12.487135008000001,63.83561308,15.60891876
32,35.8261214,0.0,42.259856312000004,3.251038062,48.693591224,6.502076124,55.127326136,9.753114186,61.561061048000006,13.004152248,67.99479596,16.25519031
33,39.428769,0.0,46.052675502,3.3955195420000006,52.676582004,6.791039084000001,59.300488506,10.186558626,65.924395008,13.582078168000002,72.54830151,16.97759771
34,51.4272051,0.0,56.395672584,3.4250630639999997,61.364140068000005,6.850126127999999,66.332607552,10.275189192,71.301075036,13.700252255999999,76.26954252,17.12531532
35,55.9403869,0.0,60.414721754000006,3.5692026660000007,64.889056608,7.138405332000001,69.363391462,10.707607998,73.837726316,14.276810664000003,78.31206116999999,17.84601333
36,59.5799479,0.0,63.36311879400001,3.5725304080000004,67.146289688,7.145060816000001,70.929460582,10.717591224,74.71263147600001,14.290121632000002,78.49580237,17.86265204
37,57.8319686,0.0,61.735213564000006,3.5097203620000004,65.638458528,7.019440724000001,69.54170349200001,10.529161086,73.444948456,14.038881448000001,77.34819342,17.54860181
38,54.2666448,0.0,57.902414740000005,3.448257468,61.53818468,6.896514936,65.17395462,10.344772403999999,68.80972455999999,13.793029872,72.4454945,17.24128734
